not sure at this time if the touch screen is worthy of the extra cost
overall this laptop is ok i dont love it the builtin wifi antenna is submediocre i had to buy an external netgear a6210 adapter it wa dirt slow watching video otherwise no it wasnt my router the other device were fine using the wifi in my house also the trackpad is squishy the trackpad just feel poorly made like an old car that is about to fall apart otherwise it performs fine
came in evening around 11pm so in thankful usps wa still working but had a few scratch on the outside a if it ha been used but im greatly in need of a good computer and so far it working terrific and fast the touch screen of course doesnt really have any use unless i am feeling lazy about using the mouse but this computer is great but please amazon or dell send a brand new computer without scratch on top of it because i would have put a 5 star if it came brand new buyer beware
so what do you give a sister who cook clean take out the trash and love facebook a new laptop i bought this laptop for the spec the laptop ha gobbs of memory and enough hard drive space for million of picture i hope she like it im pretty sure that she will love it
i bought this computer because i wa looking for a computer for my wife that had a ssd at least 16gb of ram and at least a i5 processor also my wife feel more comfortable working on window this one wa a good balance between price and spec it look a lot like a macbook pro but it feel a little more fragile than a mac she also liked that this one had a full keyboard including the number keypad the touchscreen in a thing like a laptop is something that i feel that is useless it doesnt respond a well a a modern cellphone doe we were looking for a laptop with ssd but this one also had an internal hdd of 1tb which is useful for storing all the data that are not critical to access that wa something nice that we found
so far after a few week of use we are loving this laptop i spent a lot of time researching to get a laptop within our budget that ran really well this one check off all the box speed memory sound and screen are all great very happy with our choice we use this for personal and business use
only thing i dont like is even with turning on keyboard light which ha to be continually pressed difficult to see character on key
i am a software developer and have been using some memory intensive program and needed an upgrade i have been extremely happy with this machine from the second it came out of the box boot speed is incredible with the ssd i timed my bootup from completely off is about 12 second i am running a data heavy node application heavy development server vscode spotify and about 10 tab on google chrome and this thing isnt even breaking a sweat with mentioned program im still using a little le than half the memory and barely utilizing the cpu i did a ton of research and this wa the absolute best bang for the buck i could find and would buy again in a heartbeat only flaw screen is okay i wasnt buying this machine for the screen but i have seen laptop in the price range with better display why is this thing touchscreen literally no need
i bought this laptop for personal home use mainly internet searching surfing and using microsoft office i do not have many hour on the machine yet i bought it configured with extra ram and a ssd for fast boot speedy and quiet operation overall the machine seems to boot quick and run fast my one negative is that this dell ha a very loud fan that cycle on and off with no optical drive i wonder what the chip set is doing to generate enough heat to make the fan run
i have had this laptop for about a month and a half and i love it it boot up in second multitasking is super fast simultaneously downloading several file while listening to itunes and working on spreadsheet didnt slow this machine one bit and it ha load of memory space although i generally dont use the touchscreen feature it is kind of cool the fingerprint reader work perfectly you will be hard pressed to find a comparable laptop at anywhere close to this price i also bought the laplink pcmover software from amazon which made it a fast and seamless transfer
i wish it would weight le and the surface for the mouse would feel smother under my finger everything else is fine thank you
